date,MAB_ELE_PRO156,MAB_ELE_SHP156,MAB_ELE_SHP250,MAB_ELE_PRO392,MAB_ELE_SHP392,MAB_ELE_PRO756,MAB_ELE_SHP756,MAB_ELE_PRO826,MAB_ELE_SHP826,MAB_ELE_SHP840,RohiMETMIN1000_org,RohCOPPER1000_org,WKLWEUR840_org,PRI27840_org,PRI27380_org,PRI27250_org,PRI27276_org,PRO28756_org,PRO28392_org,PRO271000_org,PRO27756_org,PRO27826_org,PRO27392_org,PRO27276_org
2004-02-01,16.94070431693488,16.94070431693488,83.45886578230527,109.33401014137829,110.49527205298672,86.07449598964568,80.96253230315602,111.35381188990044,77.76636669726679,90.44274904045476,48.74794479501315,36.6238317853912,1.2646,78.96986389160156,93.02002716064452,96.8646469116211,93.23045349121094,96.1774805787466,110.89003378095128,91.39043951279632,68.67765668624116,120.70651631573696,106.16126189626532,85.91320037841797
2004-03-01,23.711852473663782,23.711852473663782,106.16819176580846,140.88461567399355,144.6861659979309,86.03825839055396,80.91235223555182,127.55860829161504,77.82922533427833,90.580356526989,49.25615688543675,39.93105527141333,1.2262,79.67356872558594,93.54026794433594,96.86465313471854,93.33567810058594,96.25092726848658,141.17685267910332,91.51149754643978,68.45254817181899,138.30954994511524,140.28874140734456,97.67081451416016
2004-04-01,24.435234972226496,24.435234972226496,92.00764649124648,105.85357863799392,102.65576888295656,85.99706252237172,80.85786295877422,108.73229734337836,77.9046421249641,90.75180458327485,49.42375066391505,39.134854143875366,1.1985,80.33763885498047,93.85242462158205,96.86465937913631,93.44090270996094,96.33021140740918,105.64876459622158,91.66678992885568,68.20389169589343,115.55732960782356,106.27119658098744,87.25398254394531
2004-05-01,23.708115041407584,23.708115041407584,85.69648588212209,101.8647770114048,100.30528501514456,85.95148269369362,80.80060122161915,110.64520023896873,77.99360639168127,90.9614255975377,46.468392296442154,36.27843349321599,1.2007,80.798828125,93.85242462158205,96.8646656494324,93.54612731933594,96.413549273025,101.99036082339268,91.86145715828316,67.93632197984913,119.26953397864484,101.60871032387782,84.67555236816406
2004-06-01,27.00913800703528,27.00913800703528,106.64148191270336,120.33291998099766,119.61637963779732,85.90264046965504,80.74272356294341,122.02095993773663,78.09699456108585,91.21320342402542,47.80391316626946,35.65738015671881,1.2138,80.91349029541016,93.95646667480467,96.86467195151825,93.44090270996094,96.49929052180948,122.13657530051456,92.10028938405252,67.6557336783076,128.84941622592555,116.6552481871705,95.40180206298828
2004-07-01,23.590959311166877,23.590959311166877,89.30278079985777,118.14054745987724,116.43894147432398,85.8523578040294,80.6871052797371,112.62094737537164,78.21557496870993,91.51057489828428,49.34189342258905,37.27291513891332,1.2266,80.97483825683594,94.0605239868164,96.86467829480164,93.44090270996094,96.58626423485548,118.88082469883824,92.3874652388336,67.36910232363277,119.26953397864484,116.63111453670186,91.48258972167967
2004-08-01,24.280597367158453,24.280597367158453,71.79896247173573,106.24377263369222,107.6157055858063,85.80330072980959,80.6374302516578,102.72431197490992,78.35002245115564,91.85625295856455,48.78671895281735,37.77277050406971,1.2176,81.12193298339844,94.26861572265624,96.8646847001294,93.44090270996094,96.67411260988436,109.8585836358753,92.72630692566172,67.08430084345711,112.92286198982136,98.87313572824094,81.99398803710938
2004-09-01,25.98919212764996,25.98919212764996,98.89681724762866,124.92918815354278,128.39123224517917,85.75909071802838,80.5982532828772,120.37798960998668,78.50094370311706,92.25209116662433,49.28001777648305,38.42002235079759,1.2218,81.40205383300781,94.37266540527344,96.86469124577408,93.54612731933594,96.76356614734496,129.96067077090171,93.11907296591993,66.80992881703797,130.52589561919967,114.66994321757088,98.49591827392578
2004-10-01,24.895962329857753,24.895962329857753,99.6037401782322,104.92228563250652,104.34352925050858,85.72436174230945,80.57501675923943,114.47892051302418,78.66891391444224,92.69900470247153,51.64550163450685,39.97778523824326,1.249,81.6745834350586,94.5807647705078,96.86469852360612,93.54612731933594,96.85662131070276,108.5344103542749,93.56680644586612,66.55516187991903,125.97545155174134,97.5571260805188,92.7202377319336
2004-11-01,26.774785086737072,26.774785086737072,86.51116511366415,112.82851179546482,112.2737267395913,85.70474822851533,80.57401074295608,119.45550265748038,78.85452202316728,93.19695225047434,52.09679270684535,41.44507434441099,1.2991,81.60795593261719,94.5807647705078,96.8647154750718,93.54612731933594,96.9565921530911,117.23088572695237,94.06925011615856,66.32963002492981,132.56162059674682,103.85202595666932,97.46454620361328
2004-12-01,32.733755651716066,32.733755651716066,104.11297428939808,114.12863035377624,116.67040606164532,85.71029246458596,80.60708162692059,107.31950290513716,79.05231523781733,93.73153868723752,52.655492468205246,41.74577325337597,1.3408,81.83039855957031,94.684814453125,96.86473775888884,93.44090270996094,97.06099168484104,119.33459498307424,94.61295710571228,66.16495033577755,110.28839437181917,103.51361479639176,88.801025390625
2005-01-01,21.92819388302241,21.92819388302241,89.7225312803001,104.48537459278548,104.63181773996814,85.74830615294786,80.68136595967229,100.25382848914984,79.26226819288127,94.29799098326224,56.39844425489524,42.07156911413744,1.3119,82.65886688232422,95.41316223144533,96.86476878360048,93.65135192871094,97.17622071880974,108.97420109653504,95.19159914965188,66.07000302163252,108.01317233809,95.33261106774276,84.77867889404297
2005-02-01,21.92819388302241,21.92819388302241,87.07192802983097,113.1724417310691,112.78582673325968,85.82633735640596,80.80391711121146,111.40431278421607,79.4847071857077,94.89102675462568,57.939183882678535,43.182417800211034,1.3014,83.0922622680664,95.62125396728516,96.86481442909351,93.75657653808594,97.309948787651,117.08254725376428,95.79779295331112,66.05212698023355,120.10777367528188,105.1996962535377,87.25398254394531
