date,MAB_ELE_PRO156,MAB_ELE_SHP156,MAB_ELE_PRO250,MAB_ELE_SHP250,MAB_ELE_PRO276,MAB_ELE_SHP276,MAB_ELE_PRO380,MAB_ELE_SHP380,MAB_ELE_PRO392,MAB_ELE_SHP392,MAB_ELE_PRO756,MAB_ELE_SHP756,MAB_ELE_PRO826,MAB_ELE_SHP826,MAB_ELE_PRO840,MAB_ELE_SHP840,MAB_ELE_PRO1100,MAB_ELE_SHP1100,RohiBASEMET1000_org,RohiENERGY1000_org,RohiMETMIN1000_org,RohiNATGAS1000_org,RohCRUDE_PETRO1000_org,RohCOPPER1000_org,WKLWEUR840_org,PRI27840_org,PRI27826_org,PRI27380_org,PRI27250_org,PRI27276_org,PRI27156_org,PRO28840_org,PRO281000_org,PRO28756_org,PRO28826_org,PRO28380_org,PRO28392_org,PRO28250_org,PRO28276_org,PRO27840_org,PRO271000_org,PRO27756_org,PRO27826_org,PRO27380_org,PRO27392_org,PRO27250_org,PRO27276_org
2004-02-01,16.94070431693488,16.94070431693488,112.09127317105393,83.45886578230527,82.62303681836659,79.45253199798833,124.28960262622753,86.56049262864539,109.33401014137827,110.49527205298672,86.07449598964568,80.96253230315602,111.35381188990044,77.76636669726679,107.60140001746241,90.44274904045477,97.12291101331279,80.09852990133969,54.03981146876005,44.123338392987,48.74794479501315,87.0769740759468,39.63945774551672,36.623831785391204,1.2646,78.96986389160156,81.0564818102047,93.02002716064453,96.8646469116211,93.23045349121094,92.77461394596858,102.4917221069336,97.59737396240234,96.1774805787466,106.19197683331916,116.7902755737305,110.89003378095128,118.2741088867188,80.82901000976562,117.72399139404297,91.39043951279632,68.67765668624116,120.70651631573695,141.5108642578125,106.16126189626532,102.0770568847656,85.91320037841797
2004-03-01,23.711852473663786,23.711852473663786,136.32797556583895,106.16819176580846,100.5565821427998,97.01291838472758,143.41166158192974,106.34454387569338,140.88461567399355,144.6861659979309,86.03825839055396,80.91235223555182,127.55860829161503,77.82922533427833,110.18736375339611,90.580356526989,113.78390367681209,96.01592927565468,54.66616223674554,47.588957068158,49.25615688543675,87.1927045993136,42.592034090281146,39.93105527141333,1.2262,79.67356872558594,81.0897379283444,93.54026794433594,96.86465313471854,93.33567810058594,92.77488649726989,105.62747955322266,113.22489166259766,96.25092726848658,121.62507452516822,139.2883911132813,141.17685267910332,148.1218414306641,102.1301040649414,119.22077941894531,91.51149754643978,68.45254817181899,138.30954994511524,152.8802337646484,140.28874140734456,117.2256851196289,97.67081451416016
2004-04-01,24.435234972226496,24.435234972226496,117.7918060900324,92.00764649124649,89.65320321741748,84.93235814143094,129.0838284516689,95.57967279053582,105.85357863799393,102.65576888295655,85.99706252237172,80.85786295877422,108.73229734337835,77.9046421249641,108.16656384226461,90.75180458327485,101.71519900172731,85.16723571689052,54.872714764395944,47.7790126906482,49.42375066391505,91.3799233350361,42.65063679819822,39.134854143875366,1.1985,80.33763885498047,81.13030439472976,93.85242462158203,96.86465937913631,93.44090270996094,92.7753587380129,103.48495483398438,100.1690902709961,96.33021140740918,104.96550549356955,125.2895660400391,105.64876459622158,125.4822311401367,90.96142578125,117.44112396240234,91.66678992885568,68.20389169589343,115.55732960782356,137.796875,106.27119658098745,105.3357772827148,87.25398254394531
2004-05-01,23.708115041407584,23.708115041407584,109.00254089205208,85.69648588212209,86.88057096408303,82.37279441778624,135.59039052104447,100.08703920955766,101.8647770114048,100.30528501514455,85.95148269369362,80.80060122161915,110.64520023896873,77.99360639168127,108.42588708229499,90.9614255975377,101.27572712179943,84.48576697537862,51.230355564330154,53.5908975994856,46.468392296442154,99.0445198216908,47.51712067823383,36.27843349321599,1.2007,80.798828125,81.17884507196214,93.85242462158203,96.8646656494324,93.54612731933594,92.7761737478956,103.6439437866211,99.58143615722656,96.41354927302501,105.88535899838175,131.9889984130859,101.99036082339268,116.6497497558594,88.08290100097656,117.89921569824219,91.86145715828317,67.93632197984913,119.26953397864483,143.8605346679688,101.60871032387782,96.61650848388672,84.67555236816406
2004-06-01,27.00913800703528,27.00913800703528,133.7857371340491,106.64148191270336,99.0108136976923,95.1087404856352,136.42493532489436,110.88971943724088,120.33291998099766,119.61637963779731,85.90264046965504,80.74272356294341,122.02095993773665,78.09699456108585,110.56993310621407,91.21320342402542,112.05719726369529,96.96329430406252,52.876330814111746,50.79957469032901,47.80391316626946,98.6362670386971,44.967604566854675,35.65738015671881,1.2138,80.91349029541016,81.2359362586732,93.95646667480469,96.86467195151825,93.44090270996094,92.77756017988295,106.06266784667969,109.2777099609375,96.49929052180948,118.25227834085685,132.9889221191406,122.13657530051456,143.2487335205078,100.9786987304688,119.49910736083984,92.10028938405253,67.6557336783076,128.84941622592555,144.3153076171875,116.6552481871705,118.4587097167969,95.40180206298828
2004-07-01,23.590959311166877,23.590959311166877,117.40590412487414,89.30278079985777,94.20031779905266,89.64623900957477,140.35146682104383,106.13343644123414,118.14054745987723,116.43894147432398,85.8523578040294,80.6871052797371,112.62094737537164,78.21557496870993,104.53867090731687,91.51057489828428,104.08938820203412,88.06162629538171,54.77182903787384,53.9534164898932,49.34189342258905,95.7755394481113,47.93981346766798,37.27291513891332,1.2266,80.97483825683594,81.30206283828463,94.0605239868164,96.86467829480164,93.44090270996094,92.77986660045869,99.11801147460938,102.11033630371094,96.58626423485549,108.95153734775573,135.5887145996094,118.88082469883825,122.0304641723633,95.68221282958984,115.27733612060547,92.38746523883361,67.36910232363277,119.26953397864483,151.2885284423828,116.63111453670186,109.9155960083008,91.48258972167969
2004-08-01,24.280597367158453,24.280597367158453,79.1370329009055,71.79896247173573,82.80484367347273,80.19726802899805,54.39725221798039,49.0460038928197,106.24377263369222,107.6157055858063,85.80330072980959,80.6374302516578,102.72431197490992,78.35002245115564,107.16422319732564,91.85625295856455,80.47662630810166,71.1588836379391,54.08759904401895,58.14188023376929,48.78671895281735,89.6498864360369,53.2434948619851,37.77277050406971,1.2176,81.12193298339844,81.3776235269349,94.26861572265625,96.8646847001294,93.44090270996094,92.78361327231985,100.78627014160156,90.88539123535156,96.67411260988435,97.09564773017631,53.49554443359375,109.8585836358753,79.49239349365234,83.24697875976562,119.79934692382812,92.72630692566173,67.08430084345711,112.92286198982136,56.46791076660156,98.87313572824094,78.56146240234375,81.99398803710938
2004-09-01,25.98919212764996,25.98919212764996,130.48795519562785,98.89681724762866,102.03993091663837,101.18697028100007,130.6615706067186,104.55889168774061,124.92918815354278,128.39123224517917,85.75909071802838,80.5982532828772,120.37798960998667,78.50094370311706,109.02797563710082,92.25209116662433,111.21304489698252,97.1673009064578,54.69556981620555,58.052276207173506,49.28001777648305,87.0469489391141,52.62704862007466,38.42002235079759,1.2218,81.40205383300781,81.46294493788038,94.37266540527344,96.86469124577407,93.54612731933594,92.78954793004056,102.90653991699219,108.07749938964844,96.76356614734496,114.77727621156633,120.5899505615234,129.96067077090171,136.4467010498047,103.9723739624023,121.15492248535156,93.11907296591993,66.80992881703797,130.52589561919967,153.7897796630859,114.66994321757088,120.8366928100586,98.49591827392578
2004-10-01,24.895962329857753,24.895962329857753,119.70761328678877,99.60374017823221,93.51935750776042,89.04554867244102,133.23148417419554,95.90305408666589,104.92228563250652,104.34352925050858,85.72436174230945,80.57501675923943,114.47892051302418,78.66891391444224,110.44512443059841,92.69900470247153,105.69440953409088,89.52616886137692,57.61093263233924,66.8354611463067,51.64550163450685,104.581038552452,59.312567492130285,39.97778523824326,1.249,81.6745834350586,81.55830330675758,94.58076477050781,96.86469852360612,93.54612731933594,92.79870732751428,103.90728759765625,101.63997650146484,96.85662131070276,108.13388978792267,126.5894546508789,108.5344103542749,120.9137115478516,93.95509338378906,123.39698791503906,93.56680644586612,66.55516187991903,125.97545155174134,148.4840698242188,97.55712608051881,117.7541198730469,92.7202377319336
2004-11-01,26.774785086737072,26.774785086737072,114.50958750501509,86.51116511366415,97.13076292571162,93.85265669455461,130.11109754242966,105.53936000490857,112.82851179546482,112.2737267395913,85.70474822851533,80.57401074295608,119.45550265748038,78.85452202316728,109.60782732830016,93.19695225047434,107.46586826905926,92.99578696475932,58.16713055653384,59.107613860408506,52.09679270684535,101.189309100254,53.29596928694285,41.44507434441099,1.2991,81.60795593261719,81.66395113864688,94.58076477050781,96.86471547507179,93.54612731933594,92.81247939944491,101.9659652709961,103.84331512451172,96.9565921530911,112.22212758708798,124.1896514892578,117.23088572695235,117.5634536743164,96.94876098632812,124.74683380126953,94.06925011615857,66.32963002492981,132.56162059674682,143.7089538574219,103.85202595666931,109.5633010864258,97.46454620361328
